Model,RMSE,MAE,R2
RandomForest,0.35157451581480803,0.11771834252210628,0.8730717369645309
DecisionTree,0.5281609875793761,0.12174650725478607,0.7135451363830851
GradientBoosting,0.5326460032725432,0.20858563546592535,0.7086594689372236
KNN,0.5675430456520708,0.1864031804115144,0.6692337609517265
SVR,0.6333155777168836,0.1863622614518097,0.5881264496709067
Ridge,0.9292054244774492,0.5734712482213351,0.11336058197050491
LinearRegression,0.9297900379826394,0.5744688244333694,0.11224456516155079
Lasso,0.9957052170379006,0.5090187035078599,-0.018087552305405152
